type,entity,text
batting,A Nortje,"IPL batting stats for A Nortje: 49 total runs, 50 balls faced, 7 dismissals, strike rate 98.00, batting average 7.00."
batting,A Raghuvanshi,"IPL batting stats for A Raghuvanshi: 885 total runs, 608 balls faced, 26 dismissals, strike rate 145.56, batting average 34.04."
batting,A Singh,"IPL batting stats for A Singh: 2 total runs, 10 balls faced, 4 dismissals, strike rate 20.00, batting average 0.50."
batting,A Symonds,"IPL batting stats for A Symonds: 974 total runs, 750 balls faced, 27 dismissals, strike rate 129.87, batting average 36.07."
batting,A Tomar,"IPL batting stats for A Tomar: 4 total runs, 8 balls faced, 1 dismissals, strike rate 50.00, batting average 4.00."
batting,A Uniyal,"IPL batting stats for A Uniyal: 4 total runs, 7 balls faced, 1 dismissals, strike rate 57.14, batting average 4.00."
batting,A Zampa,"IPL batting stats for A Zampa: 15 total runs, 24 balls faced, 5 dismissals, strike rate 62.50, batting average 3.00."
batting,AA Bilakhia,"IPL batting stats for AA Bilakhia: 69 total runs, 85 balls faced, 5 dismissals, strike rate 81.18, batting average 13.80."
batting,AA Chavan,"IPL batting stats for AA Chavan: 12 total runs, 11 balls faced, 2 dismissals, strike rate 109.09, batting average 6.00."
batting,AA Jhunjhunwala,"IPL batting stats for AA Jhunjhunwala: 217 total runs, 210 balls faced, 13 dismissals, strike rate 103.33, batting average 16.69."
batting,AA Kulkarni,"IPL batting stats for AA Kulkarni: 26 total runs, 33 balls faced, 4 dismissals, strike rate 78.79, batting average 6.50."
batting,AA Noffke,"IPL batting stats for AA Noffke: 9 total runs, 10 balls faced, 1 dismissals, strike rate 90.00, batting average 9.00."
batting,AB Agarkar,"IPL batting stats for AB Agarkar: 179 total runs, 154 balls faced, 10 dismissals, strike rate 116.23, batting average 17.90."
batting,AB Barath,"IPL batting stats for AB Barath: 42 total runs, 42 balls faced, 2 dismissals, strike rate 100.00, batting average 21.00."
batting,AB Dinda,"IPL batting stats for AB Dinda: 26 total runs, 48 balls faced, 10 dismissals, strike rate 54.17, batting average 2.60."
batting,AB McDonald,"IPL batting stats for AB McDonald: 123 total runs, 100 balls faced, 5 dismissals, strike rate 123.00, batting average 24.60."
batting,AB de Villiers,"IPL batting stats for AB de Villiers: 5162 total runs, 3403 balls faced, 130 dismissals, strike rate 151.69, batting average 39.71."
batting,AC Blizzard,"IPL batting stats for AC Blizzard: 120 total runs, 90 balls faced, 7 dismissals, strike rate 133.33, batting average 17.14."
batting,AC Gilchrist,"IPL batting stats for AC Gilchrist: 2069 total runs, 1495 balls faced, 76 dismissals, strike rate 138.39, batting average 27.22."
batting,AC Thomas,"IPL batting stats for AC Thomas: 20 total runs, 19 balls faced, 2 dismissals, strike rate 105.26, batting average 10.00."
batting,AC Voges,"IPL batting stats for AC Voges: 181 total runs, 143 balls faced, 4 dismissals, strike rate 126.57, batting average 45.25."
batting,AD Hales,"IPL batting stats for AD Hales: 148 total runs, 118 balls faced, 6 dismissals, strike rate 125.42, batting average 24.67."
batting,AD Mascarenhas,"IPL batting stats for AD Mascarenhas: 79 total runs, 78 balls faced, 9 dismissals, strike rate 101.28, batting average 8.78."
batting,AD Mathews,"IPL batting stats for AD Mathews: 724 total runs, 575 balls faced, 31 dismissals, strike rate 125.91, batting average 23.35."
batting,AD Nath,"IPL batting stats for AD Nath: 90 total runs, 98 balls faced, 10 dismissals, strike rate 91.84, batting average 9.00."
batting,AD Russell,"IPL batting stats for AD Russell: 2651 total runs, 1522 balls faced, 94 dismissals, strike rate 174.18, batting average 28.20."
batting,AF Milne,"IPL batting stats for AF Milne: 25 total runs, 31 balls faced, 4 dismissals, strike rate 80.65, batting average 6.25."
batting,AG Murtaza,"IPL batting stats for AG Murtaza: 10 total runs, 14 balls faced, 1 dismissals, strike rate 71.43, batting average 10.00."
batting,AG Paunikar,"IPL batting stats for AG Paunikar: 49 total runs, 58 balls faced, 5 dismissals, strike rate 84.48, batting average 9.80."
batting,AJ Finch,"IPL batting stats for AJ Finch: 2091 total runs, 1631 balls faced, 84 dismissals, strike rate 128.20, batting average 24.89."
batting,AJ Hosein,"IPL batting stats for AJ Hosein: 21 total runs, 13 balls faced, 0 dismissals, strike rate 161.54, batting average Not available."
batting,AJ Turner,"IPL batting stats for AJ Turner: 24 total runs, 28 balls faced, 5 dismissals, strike rate 85.71, batting average 4.80."
batting,AJ Tye,"IPL batting stats for AJ Tye: 91 total runs, 76 balls faced, 9 dismissals, strike rate 119.74, batting average 10.11."
batting,AK Markram,"IPL batting stats for AK Markram: 1671 total runs, 1233 balls faced, 55 dismissals, strike rate 135.52, batting average 30.38."
batting,AL Menaria,"IPL batting stats for AL Menaria: 401 total runs, 356 balls faced, 21 dismissals, strike rate 112.64, batting average 19.10."
batting,AM Ghazanfar,"IPL batting stats for AM Ghazanfar: 2 total runs, 3 balls faced, 0 dismissals, strike rate 66.67, batting average Not available."
batting,AM Nayar,"IPL batting stats for AM Nayar: 672 total runs, 577 balls faced, 38 dismissals, strike rate 116.46, batting average 17.68."
batting,AM Rahane,"IPL batting stats for AM Rahane: 5367 total runs, 4273 balls faced, 178 dismissals, strike rate 125.60, batting average 30.15."
batting,AN Ahmed,"IPL batting stats for AN Ahmed: 36 total runs, 26 balls faced, 1 dismissals, strike rate 138.46, batting average 36.00."
batting,AN Ghosh,"IPL batting stats for AN Ghosh: 7 total runs, 8 balls faced, 2 dismissals, strike rate 87.50, batting average 3.50."
batting,AP Dole,"IPL batting stats for AP Dole: 34 total runs, 22 balls faced, 2 dismissals, strike rate 154.55, batting average 17.00."
batting,AP Majumdar,"IPL batting stats for AP Majumdar: 87 total runs, 76 balls faced, 4 dismissals, strike rate 114.47, batting average 21.75."
batting,AP Tare,"IPL batting stats for AP Tare: 339 total runs, 273 balls faced, 24 dismissals, strike rate 124.18, batting average 14.12."
batting,AR Bawne,"IPL batting stats for AR Bawne: 12 total runs, 12 balls faced, 0 dismissals, strike rate 100.00, batting average Not available."
batting,AR Patel,"IPL batting stats for AR Patel: 2089 total runs, 1562 balls faced, 97 dismissals, strike rate 133.74, batting average 21.54."
batting,AS Joseph,"IPL batting stats for AS Joseph: 27 total runs, 32 balls faced, 1 dismissals, strike rate 84.38, batting average 27.00."
batting,AS Rajpoot,"IPL batting stats for AS Rajpoot: 26 total runs, 41 balls faced, 5 dismissals, strike rate 63.41, batting average 5.20."
batting,AS Raut,"IPL batting stats for AS Raut: 194 total runs, 167 balls faced, 9 dismissals, strike rate 116.17, batting average 21.56."
batting,AS Roy,"IPL batting stats for AS Roy: 78 total runs, 64 balls faced, 8 dismissals, strike rate 121.88, batting average 9.75."
batting,AS Yadav,"IPL batting stats for AS Yadav: 49 total runs, 39 balls faced, 5 dismissals, strike rate 125.64, batting average 9.80."
batting,AT Carey,"IPL batting stats for AT Carey: 32 total runs, 29 balls faced, 2 dismissals, strike rate 110.34, batting average 16.00."
batting,AT Rayudu,"IPL batting stats for AT Rayudu: 4348 total runs, 3409 balls faced, 155 dismissals, strike rate 127.54, batting average 28.05."
batting,AU Rashid,"IPL batting stats for AU Rashid: 22 total runs, 16 balls faced, 2 dismissals, strike rate 137.50, batting average 11.00."
batting,AUK Pathan,"IPL batting stats for AUK Pathan: 39 total runs, 23 balls faced, 5 dismissals, strike rate 169.57, batting average 7.80."
batting,Abdul Basith,"IPL batting stats for Abdul Basith: 1 total runs, 1 balls faced, 0 dismissals, strike rate 100.00, batting average Not available."
batting,Abdul Samad,"IPL batting stats for Abdul Samad: 857 total runs, 576 balls faced, 44 dismissals, strike rate 148.78, batting average 19.48."
batting,Abdur Razzak,"IPL batting stats for Abdur Razzak: 0 total runs, 2 balls faced, 0 dismissals, strike rate 0.00, batting average Not available."
batting,Abhishek Sharma,"IPL batting stats for Abhishek Sharma: 2379 total runs, 1389 balls faced, 81 dismissals, strike rate 171.27, batting average 29.37."
batting,Abishek Porel,"IPL batting stats for Abishek Porel: 769 total runs, 529 balls faced, 30 dismissals, strike rate 145.37, batting average 25.63."
batting,Akash Deep,"IPL batting stats for Akash Deep: 25 total runs, 14 balls faced, 3 dismissals, strike rate 178.57, batting average 8.33."
batting,Akash Madhwal,"IPL batting stats for Akash Madhwal: 8 total runs, 14 balls faced, 0 dismissals, strike rate 57.14, batting average Not available."
batting,Akshat Raghuwanshi,"IPL batting stats for Akshat Raghuwanshi: 29 total runs, 25 balls faced, 2 dismissals, strike rate 116.00, batting average 14.50."
batting,Aman Hakim Khan,"IPL batting stats for Aman Hakim Khan: 115 total runs, 104 balls faced, 9 dismissals, strike rate 110.58, batting average 12.78."
batting,Aniket Verma,"IPL batting stats for Aniket Verma: 315 total runs, 196 balls faced, 15 dismissals, strike rate 160.71, batting average 21.00."
batting,Anirudh Singh,"IPL batting stats for Anirudh Singh: 63 total runs, 66 balls faced, 4 dismissals, strike rate 95.45, batting average 15.75."
batting,Ankit Sharma,"IPL batting stats for Ankit Sharma: 87 total runs, 67 balls faced, 7 dismissals, strike rate 129.85, batting average 12.43."
batting,Ankit Soni,"IPL batting stats for Ankit Soni: 7 total runs, 9 balls faced, 2 dismissals, strike rate 77.78, batting average 3.50."
batting,Anmolpreet Singh,"IPL batting stats for Anmolpreet Singh: 139 total runs, 115 balls faced, 9 dismissals, strike rate 120.87, batting average 15.44."
batting,Anuj Rawat,"IPL batting stats for Anuj Rawat: 318 total runs, 267 balls faced, 16 dismissals, strike rate 119.10, batting average 19.88."
batting,Anureet Singh,"IPL batting stats for Anureet Singh: 36 total runs, 47 balls faced, 4 dismissals, strike rate 76.60, batting average 9.00."
batting,Arjun Tendulkar,"IPL batting stats for Arjun Tendulkar: 18 total runs, 14 balls faced, 1 dismissals, strike rate 128.57, batting average 18.00."
batting,Arshad Khan,"IPL batting stats for Arshad Khan: 142 total runs, 95 balls faced, 6 dismissals, strike rate 149.47, batting average 23.67."
batting,Arshad Khan (2),"IPL batting stats for Arshad Khan (2): 5 total runs, 4 balls faced, 1 dismissals, strike rate 125.00, batting average 5.00."
batting,Arshdeep Singh,"IPL batting stats for Arshdeep Singh: 32 total runs, 47 balls faced, 6 dismissals, strike rate 68.09, batting average 5.33."
batting,Ashok Sharma,"IPL batting stats for Ashok Sharma: 1 total runs, 4 balls faced, 0 dismissals, strike rate 25.00, batting average Not available."
batting,Ashutosh Sharma,"IPL batting stats for Ashutosh Sharma: 564 total runs, 334 balls faced, 19 dismissals, strike rate 168.86, batting average 29.68."
batting,Ashwani Kumar,"IPL batting stats for Ashwani Kumar: 1 total runs, 6 balls faced, 0 dismissals, strike rate 16.67, batting average Not available."
batting,Atharva Taide,"IPL batting stats for Atharva Taide: 260 total runs, 177 balls faced, 10 dismissals, strike rate 146.89, batting average 26.00."
batting,Auqib Nabi,"IPL batting stats for Auqib Nabi: 14 total runs, 4 balls faced, 1 dismissals, strike rate 350.00, batting average 14.00."
batting,Avesh Khan,"IPL batting stats for Avesh Khan: 68 total runs, 43 balls faced, 4 dismissals, strike rate 158.14, batting average 17.00."
batting,Azhar Mahmood,"IPL batting stats for Azhar Mahmood: 388 total runs, 303 balls faced, 19 dismissals, strike rate 128.05, batting average 20.42."
batting,Azmatullah Omarzai,"IPL batting stats for Azmatullah Omarzai: 151 total runs, 101 balls faced, 10 dismissals, strike rate 149.50, batting average 15.10."
batting,B Akhil,"IPL batting stats for B Akhil: 76 total runs, 55 balls faced, 6 dismissals, strike rate 138.18, batting average 12.67."
batting,B Chipli,"IPL batting stats for B Chipli: 280 total runs, 251 balls faced, 15 dismissals, strike rate 111.55, batting average 18.67."
batting,B Indrajith,"IPL batting stats for B Indrajith: 21 total runs, 30 balls faced, 3 dismissals, strike rate 70.00, batting average 7.00."
batting,B Kumar,"IPL batting stats for B Kumar: 354 total runs, 377 balls faced, 38 dismissals, strike rate 93.90, batting average 9.32."
batting,B Laughlin,"IPL batting stats for B Laughlin: 5 total runs, 13 balls faced, 2 dismissals, strike rate 38.46, batting average 2.50."
batting,B Lee,"IPL batting stats for B Lee: 124 total runs, 97 balls faced, 10 dismissals, strike rate 127.84, batting average 12.40."
batting,B Sai Sudharsan,"IPL batting stats for B Sai Sudharsan: 2515 total runs, 1686 balls faced, 52 dismissals, strike rate 149.17, batting average 48.37."
batting,B Stanlake,"IPL batting stats for B Stanlake: 5 total runs, 2 balls faced, 0 dismissals, strike rate 250.00, batting average Not available."
batting,B Sumanth,"IPL batting stats for B Sumanth: 35 total runs, 37 balls faced, 1 dismissals, strike rate 94.59, batting average 35.00."
batting,BA Bhatt,"IPL batting stats for BA Bhatt: 6 total runs, 7 balls faced, 1 dismissals, strike rate 85.71, batting average 6.00."
batting,BA Stokes,"IPL batting stats for BA Stokes: 935 total runs, 698 balls faced, 38 dismissals, strike rate 133.95, batting average 24.61."
batting,BAW Mendis,"IPL batting stats for BAW Mendis: 3 total runs, 6 balls faced, 2 dismissals, strike rate 50.00, batting average 1.50."
batting,BB McCullum,"IPL batting stats for BB McCullum: 2880 total runs, 2186 balls faced, 104 dismissals, strike rate 131.75, batting average 27.69."
batting,BB Samantray,"IPL batting stats for BB Samantray: 125 total runs, 113 balls faced, 5 dismissals, strike rate 110.62, batting average 25.00."
batting,BB Sran,"IPL batting stats for BB Sran: 10 total runs, 14 balls faced, 1 dismissals, strike rate 71.43, batting average 10.00."
batting,BCJ Cutting,"IPL batting stats for BCJ Cutting: 238 total runs, 141 balls faced, 11 dismissals, strike rate 168.79, batting average 21.64."
batting,BE Hendricks,"IPL batting stats for BE Hendricks: 1 total runs, 3 balls faced, 1 dismissals, strike rate 33.33, batting average 1.00."
batting,BJ Haddin,"IPL batting stats for BJ Haddin: 18 total runs, 11 balls faced, 1 dismissals, strike rate 163.64, batting average 18.00."
batting,BJ Hodge,"IPL batting stats for BJ Hodge: 1400 total runs, 1118 balls faced, 42 dismissals, strike rate 125.22, batting average 33.33."
batting,BJ Rohrer,"IPL batting stats for BJ Rohrer: 193 total runs, 140 balls faced, 6 dismissals, strike rate 137.86, batting average 32.17."
batting,BKG Mendis,"IPL batting stats for BKG Mendis: 20 total runs, 10 balls faced, 1 dismissals, strike rate 200.00, batting average 20.00."
batting,BMAJ Mendis,"IPL batting stats for BMAJ Mendis: 23 total runs, 27 balls faced, 3 dismissals, strike rate 85.19, batting average 7.67."
batting,BR Dunk,"IPL batting stats for BR Dunk: 40 total runs, 35 balls faced, 3 dismissals, strike rate 114.29, batting average 13.33."
batting,BR Sharath,"IPL batting stats for BR Sharath: 2 total runs, 5 balls faced, 1 dismissals, strike rate 40.00, batting average 2.00."
batting,Basil Thampi,"IPL batting stats for Basil Thampi: 32 total runs, 35 balls faced, 1 dismissals, strike rate 91.43, batting average 32.00."
batting,Bipul Sharma,"IPL batting stats for Bipul Sharma: 187 total runs, 123 balls faced, 8 dismissals, strike rate 152.03, batting average 23.38."
batting,Brijesh Sharma,"IPL batting stats for Brijesh Sharma: 2 total runs, 4 balls faced, 0 dismissals, strike rate 50.00, batting average Not available."
batting,C Bosch,"IPL batting stats for C Bosch: 97 total runs, 63 balls faced, 3 dismissals, strike rate 153.97, batting average 32.33."
batting,C Connolly,"IPL batting stats for C Connolly: 491 total runs, 301 balls faced, 11 dismissals, strike rate 163.12, batting average 44.64."
batting,C Green,"IPL batting stats for C Green: 1029 total runs, 681 balls faced, 27 dismissals, strike rate 151.10, batting average 38.11."
batting,C Madan,"IPL batting stats for C Madan: 15 total runs, 19 balls faced, 1 dismissals, strike rate 78.95, batting average 15.00."
batting,C Munro,"IPL batting stats for C Munro: 177 total runs, 141 balls faced, 12 dismissals, strike rate 125.53, batting average 14.75."
batting,C Nanda,"IPL batting stats for C Nanda: 0 total runs, 1 balls faced, 1 dismissals, strike rate 0.00, batting average 0.00."
batting,C Sakariya,"IPL batting stats for C Sakariya: 20 total runs, 31 balls faced, 6 dismissals, strike rate 64.52, batting average 3.33."
batting,C de Grandhomme,"IPL batting stats for C de Grandhomme: 303 total runs, 225 balls faced, 16 dismissals, strike rate 134.67, batting average 18.94."
batting,CA Ingram,"IPL batting stats for CA Ingram: 205 total runs, 180 balls faced, 12 dismissals, strike rate 113.89, batting average 17.08."
batting,CA Lynn,"IPL batting stats for CA Lynn: 1329 total runs, 945 balls faced, 39 dismissals, strike rate 140.63, batting average 34.08."
batting,CA Pujara,"IPL batting stats for CA Pujara: 390 total runs, 391 balls faced, 19 dismissals, strike rate 99.74, batting average 20.53."
batting,CH Gayle,"IPL batting stats for CH Gayle: 4965 total runs, 3333 balls faced, 125 dismissals, strike rate 148.96, batting average 39.72."
batting,CH Morris,"IPL batting stats for CH Morris: 618 total runs, 398 balls faced, 28 dismissals, strike rate 155.28, batting average 22.07."
batting,CJ Anderson,"IPL batting stats for CJ Anderson: 538 total runs, 423 balls faced, 22 dismissals, strike rate 127.19, batting average 24.45."
batting,CJ Ferguson,"IPL batting stats for CJ Ferguson: 98 total runs, 117 balls faced, 6 dismissals, strike rate 83.76, batting average 16.33."
batting,CJ Jordan,"IPL batting stats for CJ Jordan: 81 total runs, 77 balls faced, 10 dismissals, strike rate 105.19, batting average 8.10."
batting,CJ McKay,"IPL batting stats for CJ McKay: 8 total runs, 15 balls faced, 1 dismissals, strike rate 53.33, batting average 8.00."
batting,CK Kapugedera,"IPL batting stats for CK Kapugedera: 16 total runs, 23 balls faced, 3 dismissals, strike rate 69.57, batting average 5.33."
batting,CK Langeveldt,"IPL batting stats for CK Langeveldt: 8 total runs, 9 balls faced, 2 dismissals, strike rate 88.89, batting average 4.00."
batting,CL White,"IPL batting stats for CL White: 954 total runs, 755 balls faced, 36 dismissals, strike rate 126.36, batting average 26.50."
batting,CM Gautam,"IPL batting stats for CM Gautam: 169 total runs, 150 balls faced, 10 dismissals, strike rate 112.67, batting average 16.90."
batting,CR Brathwaite,"IPL batting stats for CR Brathwaite: 181 total runs, 111 balls faced, 13 dismissals, strike rate 163.06, batting average 13.92."
batting,CR Woakes,"IPL batting stats for CR Woakes: 78 total runs, 77 balls faced, 6 dismissals, strike rate 101.30, batting average 13.00."
batting,CRD Fernando,"IPL batting stats for CRD Fernando: 4 total runs, 3 balls faced, 0 dismissals, strike rate 133.33, batting average Not available."
batting,CV Varun,"IPL batting stats for CV Varun: 31 total runs, 53 balls faced, 6 dismissals, strike rate 58.49, batting average 5.17."
batting,D Brevis,"IPL batting stats for D Brevis: 606 total runs, 415 balls faced, 24 dismissals, strike rate 146.02, batting average 25.25."
batting,D Ferreira,"IPL batting stats for D Ferreira: 326 total runs, 191 balls faced, 12 dismissals, strike rate 170.68, batting average 27.17."
batting,D Kalyankrishna,"IPL batting stats for D Kalyankrishna: 3 total runs, 8 balls faced, 1 dismissals, strike rate 37.50, batting average 3.00."
batting,D Padikkal,"IPL batting stats for D Padikkal: 2270 total runs, 1705 balls faced, 85 dismissals, strike rate 133.14, batting average 26.71."
batting,D Pretorius,"IPL batting stats for D Pretorius: 44 total runs, 28 balls faced, 4 dismissals, strike rate 157.14, batting average 11.00."
batting,D Salunkhe,"IPL batting stats for D Salunkhe: 33 total runs, 24 balls faced, 2 dismissals, strike rate 137.50, batting average 16.50."
batting,D Wiese,"IPL batting stats for D Wiese: 148 total runs, 101 balls faced, 5 dismissals, strike rate 146.53, batting average 29.60."
batting,D du Preez,"IPL batting stats for D du Preez: 10 total runs, 13 balls faced, 1 dismissals, strike rate 76.92, batting average 10.00."
batting,DA Miller,"IPL batting stats for DA Miller: 3288 total runs, 2357 balls faced, 92 dismissals, strike rate 139.50, batting average 35.74."
batting,DA Payne,"IPL batting stats for DA Payne: 6 total runs, 5 balls faced, 0 dismissals, strike rate 120.00, batting average Not available."
batting,DA Warner,"IPL batting stats for DA Warner: 6565 total runs, 4697 balls faced, 162 dismissals, strike rate 139.77, batting average 40.52."
batting,DAJ Bracewell,"IPL batting stats for DAJ Bracewell: 12 total runs, 9 balls faced, 0 dismissals, strike rate 133.33, batting average Not available."
batting,DB Das,"IPL batting stats for DB Das: 304 total runs, 261 balls faced, 14 dismissals, strike rate 116.48, batting average 21.71."
batting,DB Ravi Teja,"IPL batting stats for DB Ravi Teja: 375 total runs, 317 balls faced, 19 dismissals, strike rate 118.30, batting average 19.74."
batting,DE Bollinger,"IPL batting stats for DE Bollinger: 21 total runs, 23 balls faced, 1 dismissals, strike rate 91.30, batting average 21.00."
batting,DG Nalkande,"IPL batting stats for DG Nalkande: 12 total runs, 12 balls faced, 2 dismissals, strike rate 100.00, batting average 6.00."
batting,DH Yagnik,"IPL batting stats for DH Yagnik: 170 total runs, 137 balls faced, 10 dismissals, strike rate 124.09, batting average 17.00."
batting,DJ Bravo,"IPL batting stats for DJ Bravo: 1560 total runs, 1204 balls faced, 69 dismissals, strike rate 129.57, batting average 22.61."
batting,DJ Harris,"IPL batting stats for DJ Harris: 111 total runs, 101 balls faced, 4 dismissals, strike rate 109.90, batting average 27.75."
batting,DJ Hooda,"IPL batting stats for DJ Hooda: 1496 total runs, 1172 balls faced, 85 dismissals, strike rate 127.65, batting average 17.60."
batting,DJ Hussey,"IPL batting stats for DJ Hussey: 1322 total runs, 1075 balls faced, 49 dismissals, strike rate 122.98, batting average 26.98."
batting,DJ Jacobs,"IPL batting stats for DJ Jacobs: 92 total runs, 98 balls faced, 7 dismissals, strike rate 93.88, batting average 13.14."
batting,DJ Malan,"IPL batting stats for DJ Malan: 26 total runs, 26 balls faced, 1 dismissals, strike rate 100.00, batting average 26.00."
batting,DJ Mitchell,"IPL batting stats for DJ Mitchell: 351 total runs, 267 balls faced, 13 dismissals, strike rate 131.46, batting average 27.00."
batting,DJ Muthuswami,"IPL batting stats for DJ Muthuswami: 1 total runs, 3 balls faced, 1 dismissals, strike rate 33.33, batting average 1.00."
batting,DJ Thornely,"IPL batting stats for DJ Thornely: 39 total runs, 53 balls faced, 3 dismissals, strike rate 73.58, batting average 13.00."
batting,DJ Willey,"IPL batting stats for DJ Willey: 53 total runs, 62 balls faced, 2 dismissals, strike rate 85.48, batting average 26.50."
batting,DJG Sammy,"IPL batting stats for DJG Sammy: 295 total runs, 241 balls faced, 15 dismissals, strike rate 122.41, batting average 19.67."
batting,DJM Short,"IPL batting stats for DJM Short: 115 total runs, 99 balls faced, 7 dismissals, strike rate 116.16, batting average 16.43."
batting,DL Chahar,"IPL batting stats for DL Chahar: 142 total runs, 103 balls faced, 10 dismissals, strike rate 137.86, batting average 14.20."
batting,DL Vettori,"IPL batting stats for DL Vettori: 121 total runs, 113 balls faced, 8 dismissals, strike rate 107.08, batting average 15.12."
batting,DM Bravo,"IPL batting stats for DM Bravo: 6 total runs, 5 balls faced, 0 dismissals, strike rate 120.00, batting average Not available."
batting,DNT Zoysa,"IPL batting stats for DNT Zoysa: 11 total runs, 9 balls faced, 1 dismissals, strike rate 122.22, batting average 11.00."
batting,DP Conway,"IPL batting stats for DP Conway: 1080 total runs, 773 balls faced, 25 dismissals, strike rate 139.72, batting average 43.20."
batting,DP Nannes,"IPL batting stats for DP Nannes: 4 total runs, 13 balls faced, 1 dismissals, strike rate 30.77, batting average 4.00."
batting,DP Vijaykumar,"IPL batting stats for DP Vijaykumar: 1 total runs, 1 balls faced, 0 dismissals, strike rate 100.00, batting average Not available."
batting,DPMD Jayawardene,"IPL batting stats for DPMD Jayawardene: 1802 total runs, 1462 balls faced, 63 dismissals, strike rate 123.26, batting average 28.60."
batting,DR Martyn,"IPL batting stats for DR Martyn: 19 total runs, 24 balls faced, 1 dismissals, strike rate 79.17, batting average 19.00."
batting,DR Sams,"IPL batting stats for DR Sams: 44 total runs, 44 balls faced, 9 dismissals, strike rate 100.00, batting average 4.89."
batting,DR Shorey,"IPL batting stats for DR Shorey: 13 total runs, 17 balls faced, 2 dismissals, strike rate 76.47, batting average 6.50."
batting,DR Smith,"IPL batting stats for DR Smith: 2385 total runs, 1764 balls faced, 84 dismissals, strike rate 135.20, batting average 28.39."
batting,DS Kulkarni,"IPL batting stats for DS Kulkarni: 104 total runs, 108 balls faced, 9 dismissals, strike rate 96.30, batting average 11.56."
batting,DS Lehmann,"IPL batting stats for DS Lehmann: 18 total runs, 18 balls faced, 2 dismissals, strike rate 100.00, batting average 9.00."
batting,DS Rathi,"IPL batting stats for DS Rathi: 3 total runs, 8 balls faced, 1 dismissals, strike rate 37.50, batting average 3.00."
batting,DT Christian,"IPL batting stats for DT Christian: 460 total runs, 398 balls faced, 31 dismissals, strike rate 115.58, batting average 14.84."
batting,DT Patil,"IPL batting stats for DT Patil: 13 total runs, 13 balls faced, 2 dismissals, strike rate 100.00, batting average 6.50."
batting,DV Malewar,"IPL batting stats for DV Malewar: 2 total runs, 5 balls faced, 2 dismissals, strike rate 40.00, batting average 1.00."
batting,DW Steyn,"IPL batting stats for DW Steyn: 167 total runs, 160 balls faced, 22 dismissals, strike rate 104.38, batting average 7.59."
batting,Dhruv Jurel,"IPL batting stats for Dhruv Jurel: 1195 total runs, 775 balls faced, 38 dismissals, strike rate 154.19, batting average 31.45."
batting,E Lewis,"IPL batting stats for E Lewis: 654 total runs, 477 balls faced, 24 dismissals, strike rate 137.11, batting average 27.25."
batting,E Malinga,"IPL batting stats for E Malinga: 7 total runs, 17 balls faced, 1 dismissals, strike rate 41.18, batting average 7.00."
batting,EJG Morgan,"IPL batting stats for EJG Morgan: 1405 total runs, 1146 balls faced, 62 dismissals, strike rate 122.60, batting average 22.66."
batting,ER Dwivedi,"IPL batting stats for ER Dwivedi: 24 total runs, 14 balls faced, 2 dismissals, strike rate 171.43, batting average 12.00."
batting,F Behardien,"IPL batting stats for F Behardien: 14 total runs, 13 balls faced, 2 dismissals, strike rate 107.69, batting average 7.00."
batting,F du Plessis,"IPL batting stats for F du Plessis: 4773 total runs, 3515 balls faced, 136 dismissals, strike rate 135.79, batting average 35.10."
